EJER;CCAA;PROV;SEXO;MODELO;M190_P1;M190_P2;M190_P3
2022;7;37;1;190;52229;843535803,0100000;46105,0000000
2022;7;37;2;190;47943;628171539,7700000;42940,0000000
2022;5;38;1;190;103879;1580459780,6100000;94783,0000000
2022;5;38;2;190;109394;1353625490,9200000;100660,0000000
2022;6;39;1;190;85390;1604946092,0200000;75132,0000000
2022;6;39;2;190;82567;1120000770,5600000;73440,0000000
2022;7;40;1;190;21763;355708861,4300000;18889,0000000
2022;7;40;2;190;19338;253512565,2800000;17132,0000000
2022;1;41;1;190;221129;3722231997,5200000;202378,0000000
2022;1;41;2;190;223159;2917234805,5800000;207607,0000000
2022;7;42;1;190;13983;227572008,2900000;12139,0000000
2022;7;42;2;190;12887;174711630,0600000;11444,0000000
2022;9;43;2;190;107254;1313149327,3300000;89550,0000000
2022;9;43;1;190;107182;1831305377,8000000;90326,0000000
2022;2;44;1;190;21380;370102038,7300000;18855,0000000
2022;2;44;2;190;18274;231627754,2700000;16386,0000000
2022;8;45;2;190;63692;771863770,9300000;58947,0000000
2022;8;45;1;190;81205;1288620807,7600000;73892,0000000
2022;10;46;1;190;315462;5430845185,1400000;281752,0000000
2022;10;46;2;190;319483;4149399258,6400000;289493,0000000
2022;7;47;1;190;80114;1506934104,8200000;69678,0000000
2022;7;47;2;190;68002;949595563,0300000;61012,0000000
2022;7;49;1;190;30299;444996618,8000000;27019,0000000
2022;7;49;2;190;26624;321201060,6200000;24180,0000000
2022;2;50;2;190;124221;1781752084,0500000;112582,0000000
2022;2;50;1;190;126999;2548154292,7400000;113250,0000000
2022;77;99;2;190;13946;171441691,5400000;12642,0000000
2022;77;99;1;190;13915;249017102,0100000;12331,0000000
2021;10;3;2;190;186413;2086269653,0900000;170955,0000000
2021;10;3;1;190;186490;2731696017,8400000;170733,0000000
2021;1;4;1;190;63413;897080338,5700000;58101,0000000
2021;1;4;2;190;63272;693722074,9300000;58298,0000000
2021;7;5;1;190;26766;365254077,2700000;23421,0000000
2021;7;5;2;190;21702;244170317,2900000;19397,0000000
2021;11;6;2;190;81113;825595984,0400000;69881,0000100
2021;11;6;1;190;89284;1163848368,4000000;80682,0000000
2021;4;7;2;190;113760;1400255660,1000000;102718,0000000
2021;4;7;1;190;109338;1745034685,1400000;96922,0000000
2021;9;8;1;190;696878;12409438663,8800000;591805,0000000
2021;9;8;2;190;774048;10121535298,5000000;665669,0000100
2021;7;9;1;190;56239;1001245614,8900000;48556,0000000
2021;7;9;2;190;49065;625853599,3600000;43635,0000000
2021;11;10;1;190;58216;800027078,8700000;52894,0000000
2021;11;10;2;190;55526;596573948,0700000;48834,0000000
2021;1;11;1;190;151303;2467350937,2900000;136679,0000000
2021;1;11;2;190;127149;1523296743,3500000;118015,0000000
2021;10;12;1;190;73296;1159598985,0900000;66358,0000000
2021;10;12;2;190;72563;841488742,3000000;65842,0000000
2021;8;13;1;190;66006;968961898,5400000;60258,0000000
2021;8;13;2;190;52647;601294133,5200000;48489,0000000
2021;1;14;1;190;93971;1380218472,9100000;86961,9999900
2021;1;14;2;190;97730;1114118798,9200000;91347,0000000
2021;12;15;1;190;168960;2650668975,5900000;149813,0000000
2021;12;15;2;190;175961;2034578973,7300000;158697,0000000
2021;8;16;1;190;29420;392439742,8400000;26870,0000000
2021;8;16;2;190;24127;264099364,3500000;22203,0000000
2021;9;17;1;190;90183;1403853199,3800000;76014,0000000
2021;9;17;2;190;95566;1148922095,6200000;80671,0000000
2021;1;18;1;190;106542;1599982926,7400000;96849,0000000
2021;1;18;2;190;110500;1320678193,1500000;101255,0000000
2021;8;19;1;190;29532;494226188,1500000;25839,0000000
2021;8;19;2;190;23491;293636189,1000000;21187,0000000
2021;1;21;1;190;60174;925726314,5400000;55167,0000000
2021;1;21;2;190;55934;629178060,7900000;51968,0000000
2021;2;22;1;190;32515;518423214,0700000;28921,0000000
2021;2;22;2;190;29802;363820929,4300000;26547,0000000
2021;1;23;1;190;83402;1153594932,6200000;77066,0000000
2021;1;23;2;190;78987;863145476,3100000;74093,0000000
2021;7;24;1;190;81319;1417353510,3300000;72815,0000000
2021;7;24;2;190;73962;932058785,5600000;67303,0000000
2021;9;25;2;190;60837;677246315,2300000;50197,0000000
2021;9;25;1;190;58078;839387172,8000000;48707,0000000
2021;17;26;1;190;43320;697447772,1300000;37845,0000000
2021;17;26;2;190;40123;490161598,8500000;35390,0000000
2021;12;27;1;190;57758;805934784,1300000;52836,0000000
2021;12;27;2;190;61492;684434942,2300000;56567,0000000
2021;13;28;1;190;728066;14086527239,2400000;615896,0000000
2021;13;28;2;190;749828;10832869400,6300000;653750,9999900
2021;1;29;1;190;161550;2500879049,6900000;147722,0000000
2021;1;29;2;190;161999;1914193334,6100000;149788,0000000
2021;14;30;1;190;150936;2308850709,8900000;137053,0000000
2021;14;30;2;190;143655;1657646121,3300000;132009,0000000
2021;12;32;1;190;54225;710806688,0200000;49815,0000000
2021;12;32;2;190;58691;618308710,2200000;54257,0000000
2021;3;33;1;190;184038;3520790404,3500000;153520,0000000
2021;3;33;2;190;164559;2196326864,0800000;146313,0000000
2021;7;34;1;190;28011;445771648,6500000;24148,0000000
2021;7;34;2;190;23562;288829742,7000000;21110,0000000
2021;5;35;1;190;110292;1681917345,7900000;100917,0000000
2021;5;35;2;190;106143;1287160469,3900000;97875,0000000
2021;12;36;1;190;132293;2068188773,0500000;120758,9999900
2021;12;36;2;190;139811;1587382342,1800000;127022,0000000
2021;7;37;2;190;47464;580701378,2100000;42343,0000000
2021;7;37;1;190;52547;795251139,0800000;46229,0000000
2021;5;38;1;190;102566;1466087520,2700000;93382,0000000
2021;5;38;2;190;106714;1233284170,4200000;98181,0000000
2021;6;39;2;190;81898;1033352630,7500000;72471,0000000
2021;6;39;1;190;84921;1501330656,3000000;74425,0000000
2021;7;40;2;190;19430;233032030,5700000;17116,9999900
2021;7;40;1;190;22409;337837012,7200000;19161,0000000
2021;1;41;2;190;219881;2661684398,6700000;204668,0000000
2021;1;41;1;190;220668;3469373119,8100000;201820,0000000
2021;7;42;1;190;14167;213743812,4900000;12268,0000000
2021;7;42;2;190;12864;160257728,4700000;11389,0000000
2021;9;43;2;190;105516;1200707671,3500000;87931,0000000
2021;9;43;1;190;105987;1704255600,4600000;89514,0000000
2021;2;44;2;190;18292;216010992,6600000;16397,0000000
2021;2;44;1;190;21753;351543438,9100000;19038,0000000
2021;8;45;1;190;80847;1186534566,5600000;73478,0000000
2021;8;45;2;190;62256;695983131,0300000;57633,0000000
2021;10;46;1;190;317531;5089047549,9000000;282844,0000000
2021;10;46;2;190;316815;3814467625,3000000;286662,0000000
2021;7;47;1;190;79407;1396047061,3900000;68753,0000000
2021;7;47;2;190;66026;856280569,2800000;59022,0000000
2021;7;49;1;190;30627;419370512,0700000;27330,0000000
2021;7;49;2;190;26485;299083389,3200000;24019,0000000
2021;2;50;1;190;126757;2375729625,3800000;112763,0000000
2021;2;50;2;190;122662;1635859021,4700000;110871,0000000
2021;77;99;1;190;13447;226287684,9300000;11843,0000000
2021;77;99;2;190;13693;155866069,1000000;12413,0000000
2021;8;2;1;190;47861;690963355,6800000;43774,0000000
2021;8;2;2;190;40067;458884526,5300000;36772,0000000
2020;8;2;2;190;39890;441140366,6100000;36690,0000000
2020;8;2;1;190;48112;686686791,5200000;44194,0000000
2020;77;99;2;190;13629;153326786,4700000;12413,0000000
2020;77;99;1;190;13358;230639735,4400000;11869,0000000
2020;2;50;2;190;122453;1582040782,3500000;110847,0000000
2020;2;50;1;190;127693;2373133985,0200000;113522,0000000
2020;7;49;2;190;26784;290819005,6300000;24403,0000000
2020;7;49;1;190;31163;420946739,2200000;27798,0000000
2020;7;47;2;190;65202;817378386,6200000;58471,0000000
2020;7;47;1;190;79522;1397246179,3400000;68893,0000000
2020;10;46;2;190;311629;3667973382,9500000;284235,0000000
2020;10;46;1;190;314712;5045509929,1000000;282058,0000100
2020;8;45;2;190;61794;664387767,8800000;57430,0000000
2020;8;45;1;190;81115;1175528128,6400000;73985,0000000
2020;2;44;2;190;18326;208813349,4100000;16457,0000000
2020;2;44;1;190;21855;347469167,0200000;19246,0000000
2020;9;43;2;190;104137;1149816652,7900000;86848,0000000
2020;9;43;1;190;105181;1667362027,0500000;89094,0000000
2020;7;42;2;190;12891;155308581,8700000;11457,0000000
2020;7;42;1;190;14265;211288615,1900000;12433,0000000
2020;1;41;1;190;219435;3407904979,9900000;200873,0000000
2020;1;41;2;190;216172;2560230477,0400000;201597,0000000
2020;7;40;2;190;19238;224211244,9400000;17194,0000000
2020;7;40;1;190;22157;331645134,7900000;19420,0000000
2020;6;39;2;190;81078;1005615582,5300000;71862,0000000
2020;6;39;1;190;84692;1494087453,1400000;74163,0000000
2020;5;38;2;190;105272;1181382898,6500000;97339,0000000
2020;5;38;1;190;102228;1466452496,8600000;93175,0000000
2020;7;37;2;190;47550;558879933,8300000;42576,0000000
2020;7;37;1;190;53037;790053558,7800000;46962,0000000
